property_id,batch_id,full_id,substance,box,equilibration_index,n_total_points,equilibrated_fraction,components
f9814ade23b142d4aa591f78b291d675,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_f9814ade23b142d4aa591f78b291d675,CCCO,CCCO (9932cc8996394201bf9ddd96d492f22f_f9814ade23b142d4aa591f78b291d675),10,1040,0.009615384615384616,"['CCCCOCCCC', 'CCCO']"
bc33a6a8a48d4b848c4ee6f7ef42b14a,2e84931a01f94a7683c3ad989ffc0605,2e84931a01f94a7683c3ad989ffc0605_bc33a6a8a48d4b848c4ee6f7ef42b14a,CC(=O)C(C)C,CC(=O)C(C)C (2e84931a01f94a7683c3ad989ffc0605_bc33a6a8a48d4b848c4ee6f7ef42b14a),10,1020,0.00980392156862745,['CC(=O)C(C)C']
a508ae12459b44e7b885d5687a51661f,5d8ae59f7cda4df9ba4d680c6930220f,5d8ae59f7cda4df9ba4d680c6930220f_a508ae12459b44e7b885d5687a51661f,COCCOCCOC,COCCOCCOC (5d8ae59f7cda4df9ba4d680c6930220f_a508ae12459b44e7b885d5687a51661f),10,1020,0.00980392156862745,['COCCOCCOC']
0098539d9ada4a95b9c303ddb972dbba,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_0098539d9ada4a95b9c303ddb972dbba,CCOCCO,CCOCCO (9932cc8996394201bf9ddd96d492f22f_0098539d9ada4a95b9c303ddb972dbba),10,1020,0.00980392156862745,"['CCOCCO', 'OCc1ccccc1']"
0203bf6729bf4b5482efc603eb1a890e,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_0203bf6729bf4b5482efc603eb1a890e,c1ccncc1,c1ccncc1 (9932cc8996394201bf9ddd96d492f22f_0203bf6729bf4b5482efc603eb1a890e),10,1020,0.00980392156862745,"['NCCO', 'c1ccncc1']"
046745bbc05f48e5a9ee8db63366808c,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_046745bbc05f48e5a9ee8db63366808c,C1COCCO1,C1COCCO1 (9932cc8996394201bf9ddd96d492f22f_046745bbc05f48e5a9ee8db63366808c),10,1020,0.00980392156862745,"['C1COCCO1', 'O=C1CCCCCC1']"
046745bbc05f48e5a9ee8db63366808c,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_046745bbc05f48e5a9ee8db63366808c,O=C1CCCCCC1,O=C1CCCCCC1 (9932cc8996394201bf9ddd96d492f22f_046745bbc05f48e5a9ee8db63366808c),10,1020,0.00980392156862745,"['C1COCCO1', 'O=C1CCCCCC1']"
0763d1dda3d049ce93322f93bae03618,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_0763d1dda3d049ce93322f93bae03618,CCOC(=O)OCC,CCOC(=O)OCC (9932cc8996394201bf9ddd96d492f22f_0763d1dda3d049ce93322f93bae03618),10,1020,0.00980392156862745,"['CCCO', 'CCOC(=O)OCC']"
0be027efce584806b56595eb4ea7e6c7,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_0be027efce584806b56595eb4ea7e6c7,C1CCOCC1,C1CCOCC1 (9932cc8996394201bf9ddd96d492f22f_0be027efce584806b56595eb4ea7e6c7),10,1020,0.00980392156862745,"['C1CCOCC1', 'c1ccccc1']"
0be027efce584806b56595eb4ea7e6c7,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_0be027efce584806b56595eb4ea7e6c7,c1ccccc1,c1ccccc1 (9932cc8996394201bf9ddd96d492f22f_0be027efce584806b56595eb4ea7e6c7),10,1020,0.00980392156862745,"['C1CCOCC1', 'c1ccccc1']"
